OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Carlos Hyde,RB28,11,37,152,83,23.5,61,-21
Devin Funchess,WR38,4,33,145,84.9,15.3,80,-3
Randall Cobb,WR39,7,44,212,85,28,96,12
Jamaal Williams,RB29,7,35,144,85.5,24.2,74,-11
Kenny Stills,WR40,11,37,145,86.9,21,113,27
Duke Johnson,RB30,11,39,156,85.9,22.2,86,-1
Andrew Luck,QB9,9,49,178,90.5,20.5,93,5
Kerryon Johnson,RB31,6,26,135,82.5,22,72,-17
Carson Wentz,QB10,9,46,178,93.5,24.4,76,-14
Julian Edelman,WR41,11,42,201,88.6,24.7,69,-22
Will Fuller,WR42,10,52,150,94.3,16.8,75,-17
Jordan Reed,TE10,4,62,132,94.5,15.5,84,-9
Tarik Cohen,RB32,5,43,138,92.9,22.5,82,-12
Chris Carson,RB33,7,54,177,95.4,27,90,-5
Jordy Nelson,WR43,7,47,191,95.6,20.7,92,-4
Ben Roethlisberger,QB11,7,61,129,97.2,14.6,97,0
Sterling Shepard,WR44,9,44,173,96.5,22.8,102,4
Philip Rivers,QB12,8,63,148,101,16.6,105,6
Jack Doyle,TE11,9,18,238,102.8,28.2,107,7
Sony Michel,RB34,11,44,143,95.5,22.4,77,-24
Jimmy Garoppolo,QB13,11,67,152,105,18.3,101,-1
Peyton Barber,RB35,5,15,173,102.4,28.3,104,1
Kelvin Benjamin,WR45,11,56,147,103.6,15.4,110,6
Matt Ryan,QB14,8,66,157,109.2,18.1,103,-2
Matt Breida,RB36,11,32,178,107.2,32.4,132,26
Isaiah Crowell,RB37,11,60,154,106.6,19.3,94,-13
David Njoku,TE12,11,59,160,112.5,18.4,109,1
Patrick Mahomes,QB15,12,56,175,112.8,19.7,114,5
James White,RB38,11,55,230,110.9,32.3,112,2
Rashaad Penny,RB39,7,57,172,111.3,26.9,81,-30
George Kittle,TE13,11,71,154,117.6,19.1,129,17
Keelan Cole,WR46,9,62,220,117.3,33.4,131,18
Jared Goff,QB16,12,69,183,121,19,115,1
Marlon Mack,RB40,9,64,159,113.6,19.9,98,-17
Alfred Morris,RB41,11,53,285,122.1,43.5,136,20
Marcus Mariota,QB17,8,73,197,124.8,20.5,133,16
Allen Hurns,WR47,8,80,221,121.6,28.3,117,-1
Kenny Golladay,WR48,6,78,217,128.3,25.7,143,24
Tyler Lockett,WR49,7,41,242,128.5,38.1,152,32
Alex Smith,QB18,4,83,191,129.6,21.1,125,4
Ty Montgomery,RB42,7,83,221,128.1,26.3,127,5
Giovani Bernard,RB43,9,71,192,125.8,21.5,138,15
Bilal Powell,RB44,11,67,204,129,28.2,140,16
Devante Parker,WR50,11,61,249,123.8,32.2,118,-7
Rishard Matthews,WR51,8,82,242,128.5,30.6,166,40
Mike Williams,WR52,8,54,226,131.2,33.2,124,-3
O.J. Howard,TE14,5,90,198,138.1,24.2,154,26
Chris Godwin,WR53,5,84,185,131.6,22.2,162,33
D.J. Moore,WR54,4,82,222,131.3,29.5,130,0
Dak Prescott,QB19,8,90,200,138.7,22.1,141,10
Tyler Eifert,TE15,9,84,196,137.6,21.2,135,3
Adrian Peterson,RB45,4,56,312,144.9,46.6,116,-17
Charles Clay,TE16,11,96,218,139.5,22.6,188,54
Anthony Miller,WR55,5,88,218,134,26.9,156,21
Ronald Jones II,RB46,5,71,206,135.1,28,106,-30
Jacksonville (JAC),DST1,9,89,233,139.1,20.5,108,-29
Eric Ebron,TE17,9,81,180,142.2,21.8,183,45
