OVERALL,POS,Best,Worst,Avg,Std Dev,ADP,vs. ADP
Mike Wallace,WR38,43,169,88.6,23.9,77,-9
Delanie Walker,TE7,58,144,88.9,15.2,111,24
Jordan Cameron,TE8,56,122,89.2,15.1,84,-4
Pierre Garcon,WR39,49,160,92.5,26.7,114,25
Ryan Tannehill,QB10,60,124,87.5,15.7,82,-8
Devonta Freeman,RB34,65,140,93.8,16.6,92,1
Danny Woodhead,RB35,39,148,89,24,110,18
Eli Manning,QB11,59,159,93.6,20.2,95,2
Cam Newton,QB12,56,152,94.4,19.9,104,10
Marques Colston,WR40,61,158,95.3,21.5,113,18
Tevin Coleman,RB36,37,137,96.2,18.6,76,-20
Devin Funchess,WR41,31,184,94.9,28.2,107,10
Torrey Smith,WR42,63,161,100.8,19.6,105,7
Matthew Stafford,QB13,44,149,101.1,22,81,-18
Zach Ertz,TE9,62,167,104.3,20.4,108,8
Isaiah Crowell,RB37,58,158,104.7,17.3,86,-15
